iter	Logloss
0	0.6439485667
1	0.5956099626
2	0.5543151136
3	0.5157238848
4	0.4823659293
5	0.4495276501
6	0.4208353325
7	0.393811239
8	0.3708374964
9	0.3502843952
10	0.3313894887
11	0.3145327557
12	0.2997321521
13	0.2855752627
14	0.2722738167
15	0.2603185853
16	0.2492097981
17	0.2392652089
18	0.2299375003
19	0.2220412799
20	0.2145926312
21	0.2079393677
22	0.2014884122
23	0.1959779601
24	0.1908645926
25	0.1860871597
26	0.181991461
27	0.1777223513
28	0.1739375619
29	0.1706170332
30	0.1674600684
31	0.1644984292
32	0.1620355284
33	0.1593360505
34	0.1570071348
35	0.1551029404
36	0.1531198819
37	0.1511226947
38	0.1494908278
39	0.1479331013
40	0.1464447703
41	0.1450626865
42	0.1437564545
43	0.1426933447
44	0.1415898865
45	0.1403517338
46	0.1392974725
47	0.1384627319
48	0.1375296365
49	0.1366521819
50	0.1358091907
51	0.1352537394
52	0.1347334061
53	0.1340971594
54	0.1334566569
55	0.1329475883
56	0.1324113168
57	0.1320132001
58	0.1315277175
59	0.1310405866
60	0.1306780349
61	0.1302960008
62	0.1298847807
63	0.1295475164
64	0.1292636239
65	0.1289247868
66	0.12862273
67	0.1283396168
68	0.1280568765
69	0.1278402019
70	0.1276075689
71	0.1273010151
72	0.127065576
73	0.1268617998
74	0.1266911286
75	0.1264080822
76	0.126228155
77	0.1260563458
78	0.1259132675
79	0.1257179334
80	0.125609852
81	0.1254522911
82	0.1253069185
83	0.125175473
84	0.1250455872
85	0.1249455332
86	0.1248336393
87	0.124710457
88	0.1245757377
89	0.1244634344
90	0.1243696858
91	0.1242849142
92	0.1241738553
93	0.1240926148
94	0.1239672817
95	0.1238742242
96	0.1237863498
97	0.1236605369
98	0.1236018379
99	0.1234944215
100	0.1233781546
101	0.1232930587
102	0.1232274498
103	0.1231921592
104	0.1231212064
105	0.1230545069
106	0.1229355755
107	0.1228727646
108	0.1228002195
109	0.1227116022
110	0.1226377805
111	0.1225383436
112	0.1224593927
113	0.1224020531
114	0.1223365691
115	0.1222764305
116	0.122231704
117	0.1221777847
118	0.1221287886
119	0.1220547628
120	0.1219985852
121	0.1219278332
122	0.1218902514
123	0.1218568645
124	0.1217893787
125	0.121724211
126	0.1216644139
127	0.1215693347
128	0.1215050271
129	0.1214541023
130	0.1213906935
131	0.1213283548
132	0.1212900614
133	0.1212486334
134	0.121207262
135	0.1211906203
136	0.1211479767
137	0.1210891201
138	0.1210326003
139	0.1209402471
140	0.1208656643
141	0.120798365
142	0.1207601528
143	0.1207205294
144	0.1206843907
