iter	Passed	Remaining
0	24	48855
1	46	46453
2	69	46517
3	92	46030
4	112	44906
5	131	43844
6	151	43176
7	172	42930
8	194	42996
9	214	42649
10	233	42180
11	254	42156
12	269	41224
13	290	41172
14	310	41076
15	331	41092
16	354	41304
17	372	41041
18	393	41009
19	414	41030
20	434	40953
21	453	40812
22	478	41104
23	498	41027
24	521	41169
25	540	41057
26	560	40992
27	581	40941
28	601	40861
29	620	40717
30	640	40684
31	660	40599
32	680	40588
33	704	40751
34	728	40900
35	748	40852
36	768	40782
37	791	40849
38	816	41059
39	840	41176
40	863	41237
41	887	41392
42	910	41418
43	931	41419
44	959	41675
45	982	41745
46	1006	41841
47	1028	41833
48	1051	41867
49	1076	41987
50	1098	41968
51	1120	41985
52	1141	41950
53	1165	42003
54	1186	41962
55	1220	42383
56	1248	42551
57	1276	42751
58	1300	42800
59	1327	42924
60	1351	42975
61	1374	42969
62	1404	43190
63	1427	43194
64	1451	43219
65	1474	43203
66	1500	43282
67	1522	43259
68	1545	43239
69	1566	43180
70	1587	43119
71	1608	43067
72	1630	43029
73	1651	42983
74	1673	42944
75	1695	42918
76	1718	42913
77	1746	43031
78	1766	42966
79	1788	42931
80	1810	42894
81	1833	42879
82	1855	42856
83	1877	42826
84	1900	42813
85	1920	42735
86	1939	42651
87	1962	42630
88	1984	42620
89	2006	42591
90	2025	42495
91	2043	42377
92	2062	42297
93	2082	42218
94	2100	42118
95	2120	42060
96	2142	42024
97	2162	41975
98	2183	41918
99	2206	41915
100	2226	41861
101	2247	41820
102	2266	41751
103	2285	41671
104	2306	41630
105	2325	41553
106	2347	41523
107	2367	41475
108	2387	41420
109	2408	41375
110	2431	41385
111	2454	41383
112	2477	41374
113	2497	41324
114	2517	41272
115	2538	41223
116	2558	41172
117	2576	41099
118	2599	41085
119	2623	41093
120	2641	41023
121	2663	41001
122	2686	40995
123	2710	41001
124	2728	40934
125	2749	40886
126	2767	40817
127	2787	40760
128	2807	40720
129	2827	40666
